"userID","itemID","styleID","rating"
4924,11757,1199,4.5
4924,5441,1199,4.5
4924,19960,1199,5
2916,55900,1199,2.5
2916,57110,14879,4
2916,21822,1199,4
2916,11757,1199,4
6936,1550,394,4
2396,54731,263,4
5497,429,1,4.5
6330,5441,1199,4
6330,20539,394,3.5
4251,21556,568,2.5
7749,11757,1199,5
7749,7675,3268,4.5
4136,11493,5313,1.5
4136,43893,7402,4
4136,17010,577,3.5
4136,10656,5049,5
6664,30618,10541,4
694,7348,1199,3
1469,58053,395,2.5
1469,25852,1199,4
1469,11757,1199,4
1469,16074,1199,4
1469,60511,1199,4.5
1469,19960,1199,5
3820,7675,3268,3.5
3820,19960,1199,4
3820,5441,1199,4
3820,20478,1199,4.5
3820,11757,1199,4.5
3820,1525,568,4
3820,10649,1454,4.5
3820,21822,1199,5
3820,28350,3268,4
3820,33624,14879,3.5
3820,29145,263,3
3820,24059,3268,3
3820,7463,1199,4
3820,7672,3268,4.5
3820,1018,263,2
3820,17538,1199,4
8172,429,1,3.5
8172,727,263,4
4840,3824,1417,4.5
6803,3824,1417,3.5
4825,17538,1199,4
6035,28350,3268,4.5
7693,962,365,2.5
266,11757,1199,4
6355,33624,14879,4.5
2297,19960,1199,5
7846,4904,1417,4
7954,429,1,4.5
1453,45482,16386,4
1453,19960,1199,4.5
7264,436,163,3
2501,11757,1199,4.5
2501,28951,13397,4
2501,60511,1199,3.5
2501,41778,10541,4
2501,48911,1199,2.5
275,69894,1199,4.5
275,35036,1199,3.5
275,11757,1199,4.5
275,34146,1199,4
275,47658,1199,4.5
275,60511,1199,4
275,17538,1199,3
275,21822,1199,4.5
275,19960,1199,5
1981,34146,1199,4.5
3189,20478,1199,4.5
938,35036,1199,4
2533,962,365,2.5
6797,31705,13905,5
6797,429,1,4
6797,1324,263,4
6797,21556,568,4
6797,36376,13905,4
6797,34808,13905,4.5
6797,8590,765,1
3300,43893,7402,1.5
3300,1542,576,1
3300,15894,2724,1.5
3300,39606,2724,4.5
3300,3939,1417,4
3516,24905,1199,4.5
8267,959,365,4
8267,962,365,4.5
1256,47658,1199,5
1256,25852,1199,4.5
1256,7463,1199,4
1256,17538,1199,4
1256,51483,9020,4
1256,55900,1199,4
1256,47695,14879,4
1256,53468,1199,4
1256,11757,1199,4.5
1256,19960,1199,4.5
1256,58053,395,3
1256,21822,1199,4.5
1256,35036,1199,4
1256,60511,1199,5
1256,40153,14879,4
6638,33927,14879,4
6638,13350,3268,4
6638,1504,568,4
6638,37403,1199,4.5
6638,25852,1199,4.5
5951,29687,395,4
1699,36269,10541,4
1699,54731,263,4.5
1699,1504,568,3.5
1699,1018,263,4.5
8009,429,1,3.5
8009,3517,394,4.5
8009,1492,394,3.5
82,5441,1199,4
82,11757,1199,5
82,17538,1199,4
82,74159,394,3.5
82,24905,1199,4
5112,429,1,4
6121,13282,2446,4.5
7594,1414,163,4
5546,23474,1199,4.5
2631,51483,9020,4
1672,3824,1417,2.5
1672,55900,1199,2.5
1672,11757,1199,3.5
8219,436,163,2
8219,1018,263,5
8219,4904,1417,4
8219,429,1,4
6833,25884,12224,3
6833,29687,395,4.5
6833,966,365,4.5
6833,1504,568,4
5386,1324,263,4
6955,26352,2100,3.5
3136,55445,1454,4.5
3136,63020,1454,4.5
3136,15660,1454,5
3136,39008,1454,5
3136,17538,1199,4.5
6780,24059,3268,2.5
8012,1620,394,4
8012,1621,394,4.5
8012,9906,394,4
8012,798,289,3
8012,3517,394,4.5
710,10784,1075,4
710,5441,1199,4
710,4904,1417,3.5
710,11757,1199,4
710,1504,568,4.5
7178,7463,1199,3.5
388,19960,1199,5
1909,29145,263,4.5
4175,1504,568,3
4400,1123,395,4
4400,429,1,4.5
4400,1620,394,4.5
4400,16115,1199,4
4400,20478,1199,3.5
4400,1549,394,4
4400,3003,395,2
4400,25656,9020,3.5
4400,3517,394,4.5
4400,1550,394,4
4400,3517,394,5
4400,1622,394,4.5
4400,3365,395,4.5
4400,11757,1199,3.5
4400,1121,395,4
4400,1621,394,4
4400,16638,3268,3.5
4400,727,263,3
4400,20470,394,2.5
4400,1154,394,3
4400,1122,395,4.5
4400,1152,394,3.5
4400,2106,394,3.5
4400,2324,394,4
6324,17538,1199,3.5
6324,21822,1199,4.5
6324,16115,1199,4
6324,1525,568,4
6324,727,263,3.5
6324,33644,14879,3.5
6324,6551,1254,3.5
6324,1018,263,3.5
6324,4073,1199,4
6324,17010,577,4.5
7435,1791,60,4
7435,7167,1315,4.5
7435,429,1,4
7435,176,60,4
7435,175,60,4.5
5011,1525,568,4.5
916,60511,1199,4.5
916,20478,1199,4
916,11757,1199,5
916,21822,1199,3.5
916,47541,9020,4
916,25852,1199,5
916,7672,3268,3.5
916,34146,1199,5
916,1324,263,4
916,1018,263,3.5
916,16074,1199,4
916,55900,1199,3.5
916,35036,1199,3.5
916,47694,14879,4
916,5441,1199,4
916,20893,9020,3.5
916,34146,1199,5
916,48911,1199,3.5
916,47695,14879,5
916,23474,1199,5
916,17538,1199,4.5
916,436,163,1
916,47658,1199,4
916,4014,1315,2.5
916,54134,14879,4
916,29687,395,4
916,19960,1199,4.5
916,8555,1315,2.5
2531,60511,1199,5
2531,19960,1199,5
5943,11757,1199,4.5
50,11757,1199,4
50,47658,1199,5
50,17538,1199,4
6476,25181,3282,4
6316,19960,1199,3.5
6411,5481,2100,2.5
6411,20470,394,4
6411,960,365,3.5
6411,4904,1417,3.5
6411,1154,394,3
6411,25382,394,3.5
3606,47695,14879,4
3606,33644,14879,5
3606,19960,1199,3.5
3606,11757,1199,4
7113,17010,577,3.5
1120,64848,24447,4.5
1120,64849,24447,4
1120,64846,24447,4
7914,727,263,4
7914,11757,1199,4.5
964,20478,1199,4
964,35036,1199,4.5
5298,11757,1199,4
5298,24905,1199,4.5
5298,21822,1199,3
5298,33644,14879,4
5854,11757,1199,4
6903,1122,395,2
6903,5411,394,4.5
6903,1550,394,4
6684,4904,1417,4
4077,33644,14879,4
4077,34146,1199,2.5
4077,47694,14879,4
1216,10785,1075,4
1216,11757,1199,4
1216,58850,3268,3.5
1216,20478,1199,4
1216,13350,3268,3.5
1216,7348,1199,4.5
1216,16074,1199,4.5
1216,60686,3268,3.5
1216,56887,3268,3.5
1216,35036,1199,3.5
1216,21822,1199,4
1216,42948,12224,3.5
1216,7167,1315,3.5
1216,34146,1199,4.5
1216,7463,1199,4
1216,54827,1199,4.5
2119,24905,1199,4
2502,19960,1199,5
2502,59125,12224,4
5470,1504,568,4.5
4363,20169,6513,3
4363,34368,11710,3
4363,1413,163,3.5
4363,10479,3512,4
4363,1418,163,3
4363,16115,1199,4
4363,11757,1199,3.5
4363,23474,1199,3.5
4363,1414,163,2.5
4363,3939,1417,3.5
4363,3606,1315,4
4363,4920,1315,4
4363,7463,1199,3.5
4363,2572,807,4.5
4363,36299,4103,4.5
4363,13152,3282,3.5
4363,28668,11710,4
4363,32621,2647,4
4363,5916,1,4
4363,17610,2647,3.5
4363,7694,3282,3.5
4363,5441,1199,4
4363,7693,3282,4
4363,4073,1199,4
4363,8422,3282,4
4363,21822,1199,4
4363,33644,14879,4
4363,24501,11710,4
4363,39314,8802,4.5
4363,29145,263,4
4363,727,263,4
4363,16074,1199,3.5
2698,11757,1199,3
2698,7463,1199,4.5
2698,55900,1199,4.5
2698,35036,1199,4
2698,21688,9020,4
2698,47695,14879,4.5
2698,727,263,3
44,37518,14879,4
44,3824,1417,2.5
5016,429,1,3.5
5016,29145,263,4
5016,436,163,2.5
7149,11757,1199,5
5146,1622,394,4
5146,25382,394,3.5
5146,436,163,3.5
5146,960,365,3
5146,1550,394,5
6604,429,1,4
1756,20893,9020,4
6098,429,1,4
6098,1622,394,3.5
6098,1324,263,4
6098,3824,1417,4.5
3191,20478,1199,3.5
1329,16074,1199,4
1329,60511,1199,4
1329,7694,3282,4
1329,7463,1199,4
1329,11757,1199,4
2323,16074,1199,3
2323,11757,1199,4.5
2323,34146,1199,4
2323,35036,1199,4.5
2323,21822,1199,4.5
2323,7348,1199,4
2323,5441,1199,3
2323,33644,14879,3.5
2323,48911,1199,3.5
2323,17538,1199,4.5
327,24905,1199,4
327,60511,1199,5
3647,21822,1199,4.5
3647,19960,1199,4
3647,47658,1199,5
5608,34362,394,4.5
1826,43396,16994,4
1826,21704,263,4.5
1826,46255,16994,4
1826,29145,263,5
1826,7348,1199,3
1826,4073,1199,4.5
1826,54731,263,3.5
1826,1791,60,4.5
1826,53466,1199,4
1826,29687,395,3.5
1826,47694,14879,4.5
1826,26201,453,2
1826,47832,1199,3
1826,5441,1199,4
1826,7463,1199,3.5
1826,53468,1199,4.5
1826,55900,1199,4
1826,178,60,3.5
1826,1413,163,3.5
1826,48911,1199,4
1826,46254,16994,2.5
1826,17538,1199,3.5
1826,47659,1199,5
1826,46248,16994,3
1826,176,60,3.5
1826,33644,14879,3.5
1826,40153,14879,4.5
1826,53497,1199,4
1826,47695,14879,4.5
1826,3824,1417,5
1826,46249,16994,3
1826,24905,1199,2
1826,20478,1199,3
1826,1599,60,1.5
1826,16074,1199,3.5
1826,16079,1199,3
1826,51301,1199,3
1826,7348,1199,3
1826,59548,14879,2
1826,1324,263,4.5
1826,33927,14879,4
1826,46252,16994,4
1826,19960,1199,4
1826,175,60,3.5
1826,34146,1199,4
1826,727,263,4
1826,1018,263,4
1826,7463,1199,3
1826,33624,14879,4
1826,37518,14879,2
1826,11757,1199,4
1826,11757,1199,3
1826,33644,14879,4
1826,1598,60,4
1826,36862,14879,4.5
5539,46249,16994,4.5
3080,21822,1199,4
3080,16074,1199,5
3080,16638,3268,2.5
3080,19960,1199,4
3080,5441,1199,4.5
5505,11757,1199,4.5
5269,429,1,5
93,5441,1199,3.5
5669,20470,394,3.5
5748,20478,1199,4
5748,4073,1199,3.5
5748,5441,1199,4
7057,2324,394,3
7057,16079,1199,4.5
7057,16073,1199,2
7057,11757,1199,5
7057,23474,1199,4.5
7057,20470,394,4
7057,16115,1199,4
7057,7463,1199,3.5
7057,4073,1199,3.5
438,35036,1199,4
438,47658,1199,5
438,11757,1199,4.5
6158,7463,1199,3.5
6158,19960,1199,5
2550,1018,263,4
3345,55900,1199,3.5
1050,35036,1199,4.5
1050,48911,1199,4
1050,25852,1199,4
1050,53421,16386,4
1050,43091,16386,3
1050,45482,16386,3
1050,46088,16386,4
1050,11757,1199,4.5
4908,20470,394,3.5
5522,11757,1199,4.5
6907,5441,1199,3.5
6706,16115,1199,4.5
6706,36670,394,3.5
7985,511,14,4
7985,3939,1417,4.5
7985,966,365,3
7985,4904,1417,4.5
7985,429,1,4.5
7985,436,163,2.5
7985,3825,1463,3
7985,3824,1417,4
1586,24905,1199,4
1586,55900,1199,4.5
3146,11757,1199,4.5
2976,11757,1199,4
1846,19960,1199,4.5
4485,727,263,3.5
198,76685,23246,4
198,67507,24486,3.5
198,51404,20638,2
198,72146,23246,3.5
198,66818,23246,5
198,73369,2554,3
198,62101,23020,4
198,8555,1315,4
198,45116,2554,4
198,29145,263,3.5
198,1539,574,1
198,30034,13670,3
198,69677,23246,3
198,59514,23020,4
198,20891,568,4
198,69866,23246,4
198,66057,24486,3.5
198,66029,24486,4
198,727,263,4
198,1504,568,4
198,1535,574,1
2128,10785,1075,4
2128,7348,1199,5
2128,31063,3351,2.5
2128,4073,1199,3
2128,16074,1199,4
2128,25414,1075,4
2128,7463,1199,5
2128,13084,5049,4
2128,14299,807,4
2128,5441,1199,4.5
2128,63611,2916,4.5
2128,10784,1075,4
2128,9118,1303,4
2128,52239,5049,3.5
2128,8203,807,4.5
2128,34146,1199,4
5573,962,365,3.5
3797,7348,1199,4
3797,727,263,3.5
3797,19960,1199,4
3797,7463,1199,3.5
1420,429,1,3.5
2517,1504,568,4.5
2517,5441,1199,4.5
2517,54134,14879,3
2517,33644,14879,4.5
2517,47694,14879,3
5381,21822,1199,4.5
5381,17538,1199,4
5381,34146,1199,4
5381,24905,1199,4
5381,29145,263,4.5
5381,25382,394,4
5381,16074,1199,4.5
5381,35036,1199,4.5
5381,5441,1199,4.5
5381,36670,394,4
5381,727,263,3.5
5381,436,163,3
5381,19960,1199,4.5
5381,7463,1199,4.5
5381,33644,14879,4.5
5381,11757,1199,4.5
5381,37518,14879,4
5388,429,1,5
4890,21822,1199,3.5
4890,19960,1199,3
4890,11757,1199,5
4890,34146,1199,3
4051,5441,1199,4
4051,21822,1199,3
4051,11757,1199,4.5
4051,55900,1199,5
4051,7463,1199,4
1207,25382,394,4.5
1207,1324,263,4.5
1207,35036,1199,4
1207,19960,1199,5
965,52211,14879,3
965,33644,14879,4.5
965,727,263,4
965,17538,1199,3.5
965,35036,1199,4
965,47658,1199,4.5
965,19960,1199,4.5
2385,48521,21516,3
2385,429,1,4
2385,727,263,4
2385,436,163,2.5
2385,48519,21516,3
2385,48556,21516,3.5
1618,4373,1386,4
1618,16074,1199,3.5
1618,7348,1199,4
1618,47658,1199,4
1618,58053,395,3
1618,19960,1199,3.5
1618,11757,1199,5
1618,25852,1199,3.5
